scenario_id,settlement_id,family,title,expected_d1_paise,expected_d2_paise,expected_d3_paise,expected_d4_paise,expected_worst_tier,expected_exception_types,period_start,period_end,settlement_date,note
EV01,EV_01,CLEAN,Clean settlement across three payment methods,0,0,0,0,A,,2026-02-02,2026-02-03,2026-02-05,"UPI at 0 bps, CARD at 200, NETBANKING at 175, each fee and its 18% GST taken straight from the policy registry. Nothing is wrong here."
EV02,EV_02,CLEAN,"Retried order: two failed attempts, then a capture",0,0,0,0,A,,2026-02-04,2026-02-05,2026-02-07,"EV02_P1, P2 and P3 are three attempts at the SAME order O_EV02_A. Only the captured attempt may reach a settlement -- a FAILED payment in a settlement is a hard structural error (INV-B5), so this is the control that proves the engine excludes them rather than summing them."
EV03,EV_03,CLEAN,"Refund inside the period, correctly deducted",0,0,0,0,A,,2026-02-06,2026-02-07,2026-02-10,"300000 refunded against a 900000 CARD payment, dated inside the period and itemised. The gateway fee is NOT returned on a refund (POLICY.REFUND.mdr_refunded = false), so the fee still stands on the full 900000. Getting that backwards would show up as a Delta-1."
EV04,EV_04,D1,Gateway fee charged at 250 bps instead of the policy 200,5900,0,0,0,A,FEE_RATE_MISMATCH,2026-02-08,2026-02-09,2026-02-11,"Policy CARD MDR is 200 bps: 1000000 * 200 / 10000 = 20000, GST 3600. The settlement charged 25000 and taxed its own inflated fee at 4500. Short by 5900 paise, of which 5000 is fee and 900 is the tax consequence. Both legs must be attributed, leaving residual zero."
EV05,EV_05,D1,GST computed on the aggregate fee instead of per item,-2,0,0,0,A,TAX_ROUNDING_MISMATCH,2026-02-10,2026-02-11,2026-02-13,"Fees [2404, 3610, 4814, 6016, 7220, 8422] sum to 32486. Policy says PER_ITEM: 433 + 650 + 867 + 1083 + 1300 + 1516 = 5849. The settlement taxed the total instead: GST(32486) = 5847. The difference is 2 paise -- small, systematic, and invisible unless the engine recomputes per item."
EV06,EV_06,D1,"Processed refund inside the period, never deducted",-400000,0,0,0,A,REFUND_NOT_DEDUCTED,2026-02-12,2026-02-13,2026-02-17,"EV06_R1 is PROCESSED and dated inside the period, so the settlement owes 400000 less than it paid. The refund exists in the refunds table but no REFUND settlement item was written, so the header overstates the net by exactly the refund."
EV07,EV_07,TRAP,Refund after period close belongs to the next settlement,0,0,0,0,A,,2026-02-14,2026-02-15,2026-02-18,"EV07_R1 is dated 2026-02-16 -- after this settlement's period closes on 2026-02-15 but before it pays out on 2026-02-18. Periods tile the calendar, so the refund belongs to EV_08, and it is correctly itemised there. Deducting it HERE would be a fabricated explanation, and flagging either settlement is a false positive. The correct answer is silence on both."
EV08,EV_08,D1,Header gross understates the sum of its own items,75000,0,0,0,A,HEADER_ROLLUP_MISMATCH,2026-02-16,2026-02-17,2026-02-19,"The line items are correct; the header claims 75000 paise less gross than they add up to. settlement_items is the source of truth, so the header is what is wrong. It also receives EV07_R1, the refund whose period falls here -- correctly itemised, and therefore not an anomaly."
EV09,EV_09,D1,Chargeback applied to the header but never itemised,90000,0,0,0,A,ADJUSTMENT_UNEXPLAINED,2026-02-18,2026-02-19,2026-02-21,"A 90000 paise chargeback reduced the header net, but no ADJUSTMENT line item was written for it. The money moved and the adjustment is real -- the settlement simply does not show its working."
EV10,EV_10,D2,No bank credit for this settlement at all,0,,0,0,C,MISSING_BANK_CREDIT,2026-02-20,2026-02-21,2026-02-24,"The settlement is arithmetically perfect and the books agree, but no credit carrying this UTR, amount or date exists in the statement. Nothing was offered to any matching pass -- money absent, not mismatched."
EV11,EV_11,D2,One settlement arrives as two unlabelled credits,0,,0,0,A,SPLIT_BANK_CREDIT,2026-02-22,2026-02-23,2026-02-25,"The bank paid it in two parts, neither carrying a UTR and neither matching the net on its own. Bounded subset-sum over unmatched credits resolves it -- and because the enumeration is bounded, the resolution is provable rather than a guess."
EV12,EV_12,D2,Two settlements paid by one bulk credit (first leg),0,,0,0,A,MERGED_BANK_CREDIT,2026-02-24,2026-02-24,2026-02-26,EV_12 and EV_13 were paid together as a single bank line with no UTR. Subset-sum has to work out that one credit covers exactly these two settlements and no other combination.
EV13,EV_13,D2,Two settlements paid by one bulk credit (second leg),0,,0,0,A,MERGED_BANK_CREDIT,2026-02-25,2026-02-25,2026-02-27,The partner of EV_12. It has no bank line of its own; its money is inside EV_12's bulk credit.
EV14,EV_14,D2,Bank narration carries only the last 8 digits of the UTR,0,,0,0,A,,2026-02-26,2026-02-27,2026-03-03,"The credit is the right amount on the right day, but the narration was truncated to the UTR's tail. A suffix match is weaker evidence than a full reference, so the engine must resolve it on amount and date and record that it did -- not claim a UTR match it does not have."
EV15,EV_15,D3,Settlement posting written twice,0,0,,0,A,DUPLICATE_LEDGER_ENTRY,2026-02-28,2026-03-01,2026-03-05,"The whole settlement entry group was posted a second time. Both copies balance internally, so an unbalanced-group check finds nothing -- only the clearing balance for the payment gives it away."
EV16,EV_16,D3,Settlement posting missing entirely,0,0,,0,A,MISSING_LEDGER_ENTRY,2026-03-02,2026-03-03,2026-03-06,"The capture was posted but the settlement never was, so the payment's clearing balance is still sitting at the full captured amount. The mirror image of EV15."
EV17,EV_17,D3,Gateway fee posted to SALES instead of GATEWAY_FEES,0,0,,0,A,MISPOSTED_ACCOUNT,2026-03-04,2026-03-05,2026-03-07,"The entry group still balances and the clearing account still nets to exactly zero, so every arithmetic check passes. Only an account-level integrity check finds it -- and it matters, because revenue is overstated and input GST understated."
EV18,EV_18,D4,Seller paid less than the allocation says they were owed,0,0,0,30000,A,ALLOCATION_TRANSFER_DIVERGENCE,2026-03-06,2026-03-07,2026-03-10,"SELL_01 (Kanha Traders, SMB) was allocated 800000 gross at 1200 bps, so 704000 was owed. Only 674000 was transferred. The settlement itself reconciles perfectly on D1, D2 and D3 -- a marketplace can balance to the paise at the top and still be short-paying a seller underneath, which is the entire argument for reporting D4 separately."
EV19,EV_19,D4,Allocation marked settled with no transfer at all,0,0,0,765000,A,TRANSFER_MISSING,2026-03-08,2026-03-09,2026-03-11,"The allocation says SETTLED and 765000 is owed, but no transfer row exists. Not a rounding difference and not a timing difference -- the payout never happened."
EV20,EV_20,TRAP,"Two genuinely separate payments, identical amount, same day",0,0,0,0,A,,2026-03-10,2026-03-11,2026-03-13,"EV20_P1 and EV20_P2 are 450000 on CARD, captured on the same day by two different customers on two different orders. They are not duplicates. Anything that flags them is producing a false positive, and the cost of that in production is a controller chasing money that is not missing."
EV21,EV_21,TRAP,"Ambiguous bank match, first of an identical pair",0,,0,0,C,AMBIGUOUS_BANK_MATCH,2026-03-12,2026-03-13,2026-03-17,"EV_21 and EV_22 settle for exactly the same net on the same day, and two unlabelled credits of that amount are in the statement. There is no evidence that assigns a credit to a settlement. The engine must leave both unresolved rather than pick one -- refusing to guess is the behaviour that makes every other match believable."
EV22,EV_22,TRAP,"Ambiguous bank match, second of the identical pair",0,,0,0,C,AMBIGUOUS_BANK_MATCH,2026-03-14,2026-03-15,2026-03-18,"The partner of EV_21: same net, same settlement date, same unlabelled credit sitting in the statement. Identical in every respect an automated matcher can see, which is exactly why neither may be auto-resolved. Both must land at tier C and wait for a human with information the statement does not contain."
