settlement_item_id,settlement_id,transaction_type,payment_id,refund_id,adjustment_id,transfer_id,amount_paise,fee_paise,tax_paise,transaction_date
SI_0001,EV_01,PAYMENT,EV01_P1,,,,250000,0,0,2026-02-02
SI_0002,EV_01,PAYMENT,EV01_P2,,,,1000000,20000,3600,2026-02-03
SI_0003,EV_01,PAYMENT,EV01_P3,,,,480000,8400,1512,2026-02-02
SI_0004,EV_02,PAYMENT,EV02_P3,,,,620000,12400,2232,2026-02-04
SI_0005,EV_02,PAYMENT,EV02_P4,,,,310000,6200,1116,2026-02-05
SI_0006,EV_03,PAYMENT,EV03_P1,,,,900000,18000,3240,2026-02-06
SI_0007,EV_03,REFUND,,EV03_R1,,,-300000,0,0,2026-02-07
SI_0008,EV_04,PAYMENT,EV04_P1,,,,1000000,25000,4500,2026-02-08
SI_0009,EV_05,PAYMENT,EV05_P1,,,,120200,2404,433,2026-02-10
SI_0010,EV_05,PAYMENT,EV05_P2,,,,180500,3610,650,2026-02-10
SI_0011,EV_05,PAYMENT,EV05_P3,,,,240700,4814,867,2026-02-10
SI_0012,EV_05,PAYMENT,EV05_P4,,,,300800,6016,1083,2026-02-10
SI_0013,EV_05,PAYMENT,EV05_P5,,,,361000,7220,1300,2026-02-10
SI_0014,EV_05,PAYMENT,EV05_P6,,,,421100,8422,1514,2026-02-10
SI_0015,EV_06,PAYMENT,EV06_P1,,,,1200000,24000,4320,2026-02-12
SI_0016,EV_07,PAYMENT,EV07_P1,,,,800000,16000,2880,2026-02-14
SI_0017,EV_08,REFUND,,EV07_R1,,,-150000,0,0,2026-02-16
SI_0018,EV_08,PAYMENT,EV08_P1,,,,700000,14000,2520,2026-02-16
SI_0019,EV_08,PAYMENT,EV08_P2,,,,250000,0,0,2026-02-17
SI_0020,EV_09,PAYMENT,EV09_P1,,,,950000,19000,3420,2026-02-18
SI_0021,EV_10,PAYMENT,EV10_P1,,,,1400000,28000,5040,2026-02-20
SI_0022,EV_11,PAYMENT,EV11_P1,,,,900000,18000,3240,2026-02-22
SI_0023,EV_11,PAYMENT,EV11_P2,,,,600000,10500,1890,2026-02-23
SI_0024,EV_12,PAYMENT,EV12_P1,,,,700000,14000,2520,2026-02-24
SI_0025,EV_13,PAYMENT,EV13_P1,,,,550000,9625,1733,2026-02-26
SI_0026,EV_14,PAYMENT,EV14_P1,,,,1100000,22000,3960,2026-02-28
SI_0027,EV_15,PAYMENT,EV15_P1,,,,1000000,20000,3600,2026-03-02
SI_0028,EV_16,PAYMENT,EV16_P1,,,,850000,17000,3060,2026-03-04
SI_0029,EV_17,PAYMENT,EV17_P1,,,,1250000,25000,4500,2026-03-06
SI_0030,EV_18,PAYMENT,EV18_P1,,,,1200000,24000,4320,2026-03-08
SI_0031,EV_19,PAYMENT,EV19_P1,,,,950000,19000,3420,2026-03-10
SI_0032,EV_20,PAYMENT,EV20_P1,,,,450000,9000,1620,2026-03-12
SI_0033,EV_20,PAYMENT,EV20_P2,,,,450000,9000,1620,2026-03-12
SI_0034,EV_21,PAYMENT,EV21_P1,,,,500000,10000,1800,2026-03-14
SI_0035,EV_22,PAYMENT,EV22_P1,,,,500000,10000,1800,2026-03-16
